City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,maposeni,-10.5833,35.4,18.59,66,84,2.13,TZ,1717949581
190,kone,-21.0595,164.8658,22.53,82,100,1.69,NC,1717949308
191,karbala,32.616,44.0249,42.16,8,5,4.75,IQ,1717949383
192,miri,4.4148,114.0089,27.71,81,94,1.65,MY,1717949497
193,vorgashor,67.5833,63.95,2.11,96,100,4.15,RU,1717949583
194,hamilton,39.1834,-84.5333,23.61,59,0,3.6,US,1717949329
195,praia da vitoria,38.7333,-27.0667,22.09,77,60,4.65,PT,1717949584
196,bamyan,34.75,67.25,11.94,34,24,5.93,AF,1717949585
197,tateyama,34.9833,139.8667,19.5,85,100,5.48,JP,1717949585
198,strzalkowo,52.307,17.8181,20.62,58,62,4.38,PL,1717949586
199,sitka,57.0531,-135.33,8.94,93,100,2.57,US,1717949587
200,harper,4.375,-7.7169,27.5,76,81,3.8,LR,1717949587
201,lihue,21.9789,-159.3672,23.77,81,0,4.12,US,1717949588
202,al mindak,20.1588,41.2834,32.78,40,5,2.08,SA,1717949588
203,castanhal,-1.2939,-47.9264,31.32,58,100,2.66,BR,1717949481
204,freetown,8.484,-13.2299,28.41,71,77,3.05,SL,1717949589
205,san sebastian de la gomera,28.0916,-17.1133,24.1,73,40,2.57,ES,1717949590
206,ratnagiri,16.9833,73.3,26.66,86,100,2.58,IN,1717949590
207,hualien city,23.9769,121.6044,26.07,92,100,0.84,TW,1717949591
208,stephenville,32.2207,-98.2023,29.93,62,0,2.57,US,1717949547
209,east london,-33.0153,27.9116,17.18,56,0,1.45,ZA,1717949592
210,ushuaia,-54.8,-68.3,-2.06,90,33,0.24,AR,1717949592
211,clearwater,27.9659,-82.8001,33.98,68,40,4.63,US,1717949383
212,puerto madero,14.7208,-92.4215,30.11,70,75,2.57,MX,1717949593
213,hithadhoo,-0.6,73.0833,28.73,71,100,2.05,MV,1717949593
214,la ronge,55.1001,-105.2842,5.39,93,100,1.47,CA,1717949594
215,flin flon,54.7682,-101.865,10.01,60,84,1.56,CA,1717949594
216,major isidoro,-9.5322,-36.985,27.93,67,52,5.87,BR,1717949595
217,talcahuano,-36.7167,-73.1167,13.82,94,100,7.72,CL,1717949595
218,ixtapa,20.7,-105.2,28.46,74,40,3.6,MX,1717949596
219,nandigama,16.7833,80.3,30.64,63,99,3.34,IN,1717949596
220,selfoss,63.9331,-20.9971,12.17,50,32,5.28,IS,1717949412
221,bamboo flat,11.7,92.7167,27.14,82,100,6.57,IN,1717949414
222,pandan,14.0453,124.1694,26.93,87,6,1.56,PH,1717949598
223,horta,38.5333,-28.6333,21.8,86,20,6.17,PT,1717949598
224,sisimiut,66.9395,-53.6735,1.91,98,100,1.84,GL,1717949599
225,coyhaique,-45.5752,-72.0662,6.34,100,100,0.44,CL,1717949600
226,naco,31.3347,-109.9483,28.64,14,51,5.24,MX,1717949600
227,lata,40.1629,-8.3327,24.72,52,100,2.96,PT,1717949600
228,kralendijk,12.15,-68.2667,31.99,66,75,9.77,BQ,1717949406
229,argo,37.6333,22.7333,29.31,40,7,3.4,GR,1717949601
230,sao miguel do araguaia,-13.275,-50.1628,33.74,26,13,3.56,BR,1717949602
231,st. catharines,43.1668,-79.2496,21.04,70,34,5.52,CA,1717949602
232,homer,59.6425,-151.5483,11.94,65,100,7.2,US,1717949603
233,pontianak,-0.0333,109.3333,25.99,100,40,1.54,ID,1717949603
234,mingyue,43.1069,128.9217,11.2,94,26,1.08,CN,1717949604
235,itanhaem,-24.1831,-46.7889,24.65,63,65,2.16,BR,1717949604
